dteday,season,yr,weekday,hr,rider_type,riders,price,cogs,revenue,profit
2021-04-22,2,0,5,16,registered,58,3.99,1.24,231.42,230.18
2021-09-28,4,0,3,13,casual,24,3.99,1.24,95.76,94.52
2021-11-04,4,0,5,18,casual,35,3.99,1.24,139.65,138.41
2021-04-27,2,0,3,23,registered,53,3.99,1.24,211.47,210.23
2021-05-01,2,0,0,16,casual,75,3.99,1.24,299.25,298.01
2021-01-02,1,0,0,20,casual,5,3.99,1.24,19.95,18.71
2021-12-06,4,0,2,19,casual,10,3.99,1.24,39.90,38.66
2021-10-27,4,0,4,15,casual,12,3.99,1.24,47.88,46.64
2021-05-14,2,0,6,18,registered,216,3.99,1.24,861.84,860.60
2021-04-05,2,0,2,17,registered,246,3.99,1.24,981.54,980.30
2021-09-17,3,0,6,5,casual,2,3.99,1.24,7.98,6.74
2021-08-20,3,0,6,15,casual,175,3.99,1.24,698.25,697.01
2021-12-16,4,0,5,5,registered,26,3.99,1.24,103.74,102.50
2021-11-23,4,0,3,1,casual,0,3.99,1.24,0.00,-1.24
2021-09-29,4,0,4,21,registered,195,3.99,1.24,778.05,776.81
2021-03-18,1,0,5,21,casual,22,3.99,1.24,87.78,86.54
2021-05-15,2,0,0,12,casual,120,3.99,1.24,478.80,477.56
2021-01-12,1,0,3,11,registered,32,3.99,1.24,127.68,126.44
2021-09-28,4,0,3,14,registered,145,3.99,1.24,578.55,577.31
2021-05-14,2,0,6,15,registered,221,3.99,1.24,881.79,880.55
2021-07-14,3,0,4,14,casual,49,3.99,1.24,195.51,194.27
2021-12-16,4,0,5,10,casual,10,3.99,1.24,39.90,38.66
2021-11-22,4,0,2,1,registered,5,3.99,1.24,19.95,18.71
2021-02-20,1,0,0,4,casual,0,3.99,1.24,0.00,-1.24
2021-01-23,1,0,0,12,casual,24,3.99,1.24,95.76,94.52
2021-05-10,2,0,2,4,casual,0,3.99,1.24,0.00,-1.24
2021-01-14,1,0,5,14,registered,59,3.99,1.24,235.41,234.17
2021-12-30,1,0,5,20,casual,16,3.99,1.24,63.84,62.60
2021-10-08,4,0,6,13,casual,256,3.99,1.24,1021.44,1020.20
2021-10-09,4,0,0,18,casual,186,3.99,1.24,742.14,740.90
2021-01-05,1,0,3,19,casual,5,3.99,1.24,19.95,18.71
2021-11-25,4,0,5,19,registered,96,3.99,1.24,383.04,381.80
2021-05-16,2,0,1,11,casual,56,3.99,1.24,223.44,222.20
2021-06-07,2,0,2,23,registered,72,3.99,1.24,287.28,286.04
2021-03-08,1,0,2,23,registered,38,3.99,1.24,151.62,150.38
2021-06-14,2,0,2,20,registered,237,3.99,1.24,945.63,944.39
2021-05-17,2,0,2,23,registered,49,3.99,1.24,195.51,194.27
